# Episode 1 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 2 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 3 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 4 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 5 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 6 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 7 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 8 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 9 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 10 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 11 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 12 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 13 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 14 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 15 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 16 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 17 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 18 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 19 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 20 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 21 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 22 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 23 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 24 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 25 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 26 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 27 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 28 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
# Episode 29 (Trapped)
[28,4], [27,5], [28,5], [27,6], [26,7], [25,8], [24,9], [23,8], [24,8], [25,8], [24,9], [23,8], [24,8], [25,8], 
