# Episode 1 (Trapped)
[2,4], [1,4], [0,4], [0,5], [0,6], [0,7], [0,8], [0,9], [1,10], [0,10], [0,9], [1,10], [0,10], [0,9], 
# Episode 2 (Trapped)
[2,4], [1,4], [0,4], [0,5], [0,6], [0,7], [0,8], [0,9], [1,10], [0,10], [0,9], [1,10], [0,10], [0,9], 
# Episode 3 (Trapped)
[2,4], [1,4], [0,4], [0,5], [0,6], [0,7], [0,8], [0,9], [1,10], [0,10], [0,9], [1,10], [0,10], [0,9], 
# Episode 4 (Trapped)
[2,4], [1,4], [0,4], [0,5], [0,6], [0,7], [0,8], [0,9], [1,10], [0,10], [0,9], [1,10], [0,10], [0,9], 
# Episode 5 (Trapped)
[2,4], [1,4], [0,4], [0,5], [0,6], [0,7], [0,8], [0,9], [1,10], [0,10], [0,9], [1,10], [0,10], [0,9], 
# Episode 6 (Trapped)
[2,4], [1,4], [0,4], [0,5], [0,6], [0,7], [0,8], [0,9], [1,10], [0,10], [0,9], [1,10], [0,10], [0,9], 
# Episode 7 (Trapped)
[2,4], [1,4], [0,4], [0,5], [0,6], [0,7], [0,8], [0,9], [1,10], [0,10], [0,9], [1,10], [0,10], [0,9], 
# Episode 8 (Trapped)
[2,4], [1,4], [0,4], [0,5], [0,6], [0,7], [0,8], [0,9], [1,10], [0,10], [0,9], [1,10], [0,10], [0,9], 
# Episode 9 (Trapped)
[2,4], [1,4], [0,4], [0,5], [0,6], [0,7], [0,8], [0,9], [1,10], [0,10], [0,9], [1,10], [0,10], [0,9], 
# Episode 10 (Trapped)
[2,4], [1,4], [0,4], [0,5], [0,6], [0,7], [0,8], [0,9], [1,10], [0,10], [0,9], [1,10], [0,10], [0,9], 
# Episode 11 (Trapped)
[2,4], [1,4], [0,4], [0,5], [0,6], [0,7], [0,8], [0,9], [1,10], [0,10], [0,9], [1,10], [0,10], [0,9], 
